Device Name,In Quantities,Out Quantities
Device 1,72,66
Device 2,64,55
Device 3,64,55
Device 4,53,54
Device 5,48,50
Device 6,35,35
Device 7,36,35
Device 8,38,34
Device 9,31,30
Device 10,36,32
Device 11,33,29
Device 12,27,25
Device 13,29,26
Device 14,26,23
Device 15,31,28
Device 16,26,23
Device 17,27,24
Device 18,35,34
Device 19,26,23
Device 20,25,23
Device 21,23,19
Device 22,18,14
Device 23,17,13
Device 24,17,12
Device 25,13,10
Device 26,17,14
Device 27,13,9
Device 28,17,14
Device 29,14,12
Device 32,1,1
